City,Country,Date,Latitude,Longtitude,Cloudiness,Humidity,Max_Temp,Wind_Speed
General Pico,AR,1604777177,-35.66,-63.76,100,36,82.63,12.08
Namatanai,PG,1604777179,-3.67,152.43,74,76,79.32,5.26
Tando Jam,PK,1604777181,25.43,68.54,0,38,74.39,4.68
Vestmannaeyjar,IS,1604776886,63.44,-20.27,75,87,44.6,21.92
Øksfjord,NO,1604777185,70.24,22.35,90,80,36.0,23.04
Makakilo City,US,1604776914,21.35,-158.09,1,78,80.01,3.36
Penzance,GB,1604777190,50.12,-5.54,100,100,55.4,13.87
Bathsheba,BB,1604777192,13.22,-59.52,40,66,87.8,16.11
La Ronge,CA,1604777194,55.1,-105.28,100,79,21.2,6.93
Lüderitz,NA,1604777196,-26.65,15.16,0,85,63.32,5.82
Ubalá,CO,1604777199,4.75,-72.54,45,59,88.75,5.28
Rognan,NO,1604777201,67.1,15.39,100,88,39.99,5.01
Svetlogorsk,RU,1604776623,54.94,20.15,90,93,48.2,11.18
Florø,NO,1604777205,61.6,5.03,78,93,48.2,4.7
Hamza,UZ,1604777207,40.43,71.5,100,34,50.0,4.7
Atambua,ID,1604777209,-9.11,124.89,100,68,74.88,2.37
Cockburn Town,BS,1604777211,24.03,-74.52,100,76,80.46,26.37
Varkaus,FI,1604777214,62.32,27.87,0,76,48.2,11.41
Koumac,NC,1604777216,-20.57,164.28,2,75,73.83,9.73
Praia da Vitória,PT,1604777218,38.73,-27.07,40,67,60.8,19.1
San Quintín,MX,1604777220,30.48,-115.95,0,49,65.44,16.73
Xining,CN,1604777222,36.62,101.77,0,80,32.09,1.3
Acapulco de Juárez,MX,1604776990,16.86,-99.89,5,70,87.8,4.7
Soanierana Ivongo,MG,1604777226,-16.92,49.58,100,84,72.73,1.25
Daoukro,CI,1604777228,7.06,-3.96,73,90,75.13,3.31
Kaeo,NZ,1604777230,-35.1,173.78,63,88,63.0,5.01
Siwāna,IN,1604777232,25.63,72.42,0,27,75.06,2.82
Ayorou,NE,1604777235,14.73,0.92,0,13,86.45,9.8
Sitka,US,1604776782,57.05,-135.33,100,84,34.38,2.24
Menongue,AO,1604777239,-14.66,17.69,91,61,71.58,5.82
Coxim,BR,1604777241,-18.51,-54.76,71,22,100.65,6.53
Hualmay,PE,1604777243,-11.1,-77.61,14,67,67.89,12.57
Kuching,MY,1604777245,1.55,110.33,40,94,77.0,2.24
Mercedes,AR,1604777247,-34.65,-59.43,69,39,82.99,5.01
Sisimiut,GL,1604777178,66.94,-53.67,98,87,16.52,16.37
Sinnamary,GF,1604777251,5.38,-52.95,24,74,84.18,14.88
Leningradskiy,RU,1604777253,69.38,178.42,100,96,20.39,13.38
Fukuechō,JP,1604777255,32.69,128.84,0,52,66.0,20.27
Kununurra,AU,1604777258,-15.77,128.73,5,83,73.4,1.12
San Miguel de Tucumán,AR,1604777260,-26.82,-65.22,0,24,91.4,12.75
Rāzole,IN,1604777262,16.48,81.83,2,86,75.69,4.14
Bonfim,BR,1604777264,3.08,-59.95,100,66,85.64,6.85
Hamilton,BM,1604777165,32.29,-64.78,75,69,75.99,14.99
San Cristobal,EC,1604777269,-0.9,-89.62,20,60,75.2,13.87
Nara,ML,1604777270,15.17,-7.29,0,13,87.6,9.08
Maniitsoq,GL,1604776848,65.42,-52.9,100,87,22.03,15.1
Okha,RU,1604777274,53.57,142.95,71,89,25.32,8.63
Kupang,ID,1604777037,-10.17,123.58,3,76,79.56,3.02
Ulaangom,MN,1604777280,49.98,92.07,0,94,24.93,1.68
Antón Lizardo,MX,1604777282,19.05,-95.98,40,45,86.0,8.05
Saint-François,GP,1604777284,16.25,-61.27,81,70,86.0,11.41
Petropavlovsk-Kamchatskiy,RU,1604777127,53.05,158.65,15,85,19.4,11.18
Novopokrovka,RU,1604777288,45.85,134.51,3,97,28.81,3.31
Sosnogorsk,RU,1604777290,63.6,53.88,100,95,33.03,7.14
Healdsburg,US,1604777292,38.61,-122.87,40,47,60.01,3.36
Bowen,AU,1604777295,-20.02,148.23,22,94,68.0,2.24
Valdivia,CL,1604777298,-39.81,-73.25,0,40,71.6,8.05
Xingcheng,CN,1604777299,40.62,120.72,0,60,35.96,11.52
Arkhipo-Osipovka,RU,1604777301,44.37,38.52,5,74,49.23,5.73
Port Antonio,JM,1604777303,18.18,-76.46,75,88,80.01,19.46
Oistins,BB,1604777305,13.07,-59.53,40,66,87.8,16.11
Fare,PF,1604777308,-16.7,-151.02,38,75,79.74,10.74
Wollongong,AU,1604777031,-34.43,150.88,56,77,57.0,7.16
Grafton,AU,1604777312,-29.68,152.93,90,72,61.0,3.36
Chernyshevskiy,RU,1604777313,63.01,112.47,97,92,-7.31,3.13
Samarai,PG,1604777316,-10.62,150.67,1,83,80.89,8.55
Zheleznodorozhnyy,RU,1604777197,55.75,38.0,0,75,71.06,8.95
Grand Gaube,MU,1604776727,-20.01,57.66,0,74,72.0,1.99
Balyqshy,KZ,1604777322,47.07,51.87,75,86,39.2,8.95
Geilo,NO,1604777324,60.53,8.21,83,81,39.99,6.71
Aconibe,GQ,1604777326,1.3,10.94,100,95,69.78,3.91
Zhigansk,RU,1604776753,66.77,123.37,72,88,-15.92,5.35
Arlit,NE,1604777330,18.74,7.39,0,20,79.38,17.98
Springdale,CA,1604777332,49.5,-56.06,84,74,39.99,3.0
Safi,MA,1604777335,32.3,-9.24,47,78,66.52,5.46
Great Yarmouth,GB,1604777336,52.61,1.73,0,99,52.0,9.48
Qaryat Sulūq,LY,1604777338,31.67,20.25,0,71,66.16,15.14
Nome,US,1604776881,64.5,-165.41,40,86,37.4,11.41
Vicksburg,US,1604777342,32.35,-90.88,75,69,77.0,5.59
Red Bluff,US,1604777344,40.18,-122.24,1,44,57.2,4.7
Tieli,CN,1604777346,46.95,128.05,100,98,27.52,11.25
Jiaojiang,CN,1604777348,28.68,121.44,28,80,64.99,1.01
São Gabriel da Cachoeira,BR,1604777350,-0.13,-67.09,40,74,87.8,6.93
Darhan,MN,1604777352,49.49,105.92,0,88,24.17,6.2
Husavik,IS,1604777354,66.04,-17.34,75,56,44.6,21.92
Marsá Maţrūḩ,EG,1604777356,31.35,27.25,90,82,64.4,12.19
Srednyaya Yelyuzan’,RU,1604777358,53.02,45.95,15,60,39.99,8.93
Batemans Bay,AU,1604777360,-35.72,150.18,0,78,48.99,1.01
Jawhār,IN,1604777362,19.92,73.23,0,46,68.25,5.7
Sørland,NO,1604777346,67.67,12.69,75,71,35.6,14.99
Ilulissat,GL,1604777366,69.22,-51.1,20,71,8.6,5.82
Shenzhen,CN,1604777316,22.55,114.07,0,66,78.01,1.01
Christchurch,NZ,1604777199,-43.53,172.63,100,93,48.0,26.4
Buraidah,SA,1604777371,26.33,43.98,40,88,69.8,6.93
Zyryanka,RU,1604777373,65.75,150.85,96,92,-4.92,8.1
Pacific Grove,US,1604777375,36.62,-121.92,40,62,55.99,6.93
Aktanysh,RU,1604777378,55.72,54.08,95,89,34.47,10.85
São João da Barra,BR,1604776601,-21.64,-41.05,75,74,78.8,9.17
Sinop Province,TR,1604777381,41.77,34.87,100,87,48.63,3.65
Gornopravdinsk,RU,1604777383,60.05,69.9,100,97,35.94,6.26
Bubaque,GW,1604777385,11.28,-15.83,1,74,85.41,12.39
Kefamenanu,ID,1604777387,-9.45,124.48,100,72,72.43,2.35
Inyonga,TZ,1604777389,-6.72,32.07,75,31,79.7,1.36
Roma,AU,1604777392,-26.58,148.78,77,74,66.45,20.36
West Wendover,US,1604777394,40.74,-114.07,97,29,60.8,16.11
Kiama,AU,1604777396,-34.68,150.87,68,82,55.0,7.29
Quelimane,MZ,1604777398,-17.88,36.89,0,78,80.6,14.99
Sumbe,AO,1604777400,-11.21,13.84,100,77,77.36,7.4
Mackenzie,CA,1604777402,55.3,-123.17,40,68,26.6,6.93
San Pedro de Ycuamandiyú,PY,1604777404,-24.09,-57.08,77,18,100.63,3.69
Siteki,SZ,1604777372,-26.45,31.95,0,92,70.88,2.93
Corinto,NI,1604777409,12.48,-87.17,75,83,80.6,6.93
Grand-Santi,GF,1604777412,4.25,-54.38,4,42,93.56,3.98
Nizhnevartovsk,RU,1604777414,60.93,76.55,90,74,35.6,2.24
Port Lincoln,AU,1604777416,-34.73,135.87,13,74,58.98,15.79
Saint-Leu,RE,1604777418,-21.15,55.28,0,78,73.4,9.17
Kidal,ML,1604777420,18.44,1.41,1,17,77.05,11.95
Abhā,SA,1604777230,18.22,42.51,0,77,62.6,2.3
Shache,CN,1604777426,38.42,77.24,0,81,33.76,3.65
Kelo,TD,1604777429,9.31,15.81,98,31,78.62,4.0
Kombissiri,BF,1604777431,12.07,-1.34,0,23,82.4,3.36
Ailigandí,PA,1604777432,9.23,-78.02,13,64,85.96,8.86
Vao,NC,1604777272,-22.67,167.48,62,76,73.42,10.98
Kołobrzeg,PL,1604777436,54.18,15.58,0,95,42.01,1.99
Tres Arroyos,AR,1604777302,-38.37,-60.28,3,30,77.97,11.79
Qujing,CN,1604777441,25.48,103.78,83,89,49.82,3.62
Santa Bárbara,MX,1604777443,26.8,-105.82,0,21,72.79,3.0
Mahibadhoo,MV,1604777446,3.78,72.97,99,76,83.68,10.76
Bac Lieu,VN,1604777448,9.29,105.72,84,87,78.4,8.43
Mādārīpur,BD,1604777450,23.18,90.21,0,66,67.28,5.06
Santa Isabel Rio Negro,BR,1604777453,-0.41,-65.02,100,88,76.73,2.01
Kemijärvi,FI,1604777454,66.71,27.43,0,86,33.44,12.66
Muzhi,RU,1604777456,65.37,64.67,99,99,28.87,0.94
Saurimo,AO,1604777458,-9.66,20.39,100,93,67.8,3.0
Port Hedland,AU,1604777460,-20.32,118.57,0,88,75.2,9.17
Tabuleiro do Norte,BR,1604777462,-5.25,-38.13,29,45,89.62,16.78
Kurumkan,RU,1604777281,54.3,110.3,95,76,14.32,2.53
Lake City,US,1604777189,30.19,-82.64,90,88,81.0,5.82
Amga,RU,1604777468,60.9,131.96,100,90,-3.6,4.23
Bengkulu,ID,1604777303,-3.8,102.27,100,87,76.66,4.79
Cocorit,MX,1604777472,27.58,-109.97,20,45,87.8,14.99
Conde,BR,1604777184,-7.26,-34.91,40,74,82.4,18.34
Shimoda,JP,1604777475,34.67,138.95,97,90,62.01,17.09
Banjar,ID,1604777477,-8.19,114.97,7,73,75.43,5.7
Rosetta,EG,1604777479,31.4,30.42,40,88,64.4,3.36
Sorong,ID,1604777481,-0.88,131.25,100,85,80.35,11.74
Bouna,CI,1604777483,9.27,-3.0,100,31,80.04,0.85
Portree,GB,1604777485,57.41,-6.19,18,81,41.0,3.18
Paddhari,IN,1604777486,22.43,70.6,0,29,76.26,5.68
Iskateley,RU,1604777488,67.68,53.15,100,99,30.09,4.36
Renigunta,IN,1604777491,13.65,79.52,28,88,75.27,3.96
Murdochville,CA,1604777493,48.96,-65.5,86,64,33.8,16.11
Dunda,TZ,1604777495,-8.12,34.25,1,49,71.33,2.46
Upata,VE,1604777496,8.01,-62.4,75,63,90.0,1.01
Anjiang,CN,1604777498,27.32,110.1,0,73,54.7,2.28
Pinar del Río,CU,1604777500,22.42,-83.7,33,79,80.33,11.43
Pimentel,PE,1604777502,-6.84,-79.93,0,53,73.4,17.22
Naze,JP,1604777504,28.37,129.48,75,94,75.2,13.87
Kaya,BF,1604777505,13.09,-1.08,1,18,82.33,6.96
Forssa,FI,1604777507,60.81,23.62,84,91,44.01,5.35
Suda,RU,1604777509,59.15,37.56,75,75,46.4,8.95
Neiafu,TO,1604777511,-18.65,-173.98,20,65,77.0,3.36
Korostyshiv,UA,1604777513,50.32,29.06,1,94,42.96,5.32
Constitución,CL,1604777515,-35.33,-72.42,0,53,66.02,16.04
Marau,BR,1604777425,-28.45,-52.2,0,31,84.92,3.47
